level,feature_id,lgd_code,name,stations,cities,pct_area_within_50km,area_km2
district,441,441,Banas Kantha,0,0,0.0,10760
district,775,775,Balotra,0,0,21.0,10190
district,772,772,Phalodi,0,0,0.0,9404
district,774,774,Beawar,0,0,20.5,4410
district,781,781,Kekri,0,0,18.3,3871
district,768,768,Didwana Kuchaman,0,0,27.0,6801
district,769,769,Dudu,0,0,75.1,2456
district,776,776,Anoopgarh,0,0,3.2,8860
district,626,626,Ganderbal,0,0,0.0,1624
district,623,623,Bandipora,0,0,0.0,4045
district,0,0,Muzaffarabad,0,0,0.0,4804
district,8,8,Kupwara,0,0,0.0,2744
district,3,3,Baramulla,0,0,0.0,2067
district,10,10,Poonch,0,0,0.0,4246
district,622,622,Kulgam,0,0,0.0,1265
district,625,625,Shopian,0,0,0.0,504
district,2,2,Budgam,0,0,0.0,1248
district,13,13,Srinagar,0,0,0.0,280
district,11,11,Pulwama,0,0,0.0,897
district,1,1,Anantnag,0,0,0.0,2732
district,14,14,Udhampur,0,0,0.0,2279
district,621,621,Ramban,0,0,0.0,1290
district,627,627,Reasi,0,0,0.0,1938
district,5,5,Jammu,0,0,0.0,2411
district,624,624,Samba,0,0,0.0,929
district,32,32,Gurdaspur,0,0,42.5,2607
district,12,12,Rajouri,0,0,0.0,2636
district,0-1,0,Mirpur,0,0,0.0,3625
district,39,39,Sri Muktsar Sahib,0,0,75.4,2641
district,651,651,Fazilka,0,0,53.1,2876
district,29,29,Faridkot,0,0,58.1,1460
district,31,31,Ferozepur,0,0,0.0,2370
district,609,609,Tarn Taran,0,0,86.3,2414
district,35,35,Kapurthala,0,0,44.2,1631
district,38,38,Moga,0,0,29.2,2254
district,37,37,Mansa,0,0,70.4,2175
district,43,43,Sangrur,0,0,46.9,2925
district,605,605,Barnala,0,0,30.2,1428
district,737,737,Malerkotla,0,0,99.8,680
district,34,34,Jalandhar,0,0,56.6,2639
district,40,40,Shahid Bhagat Singh Nagar,0,0,100.0,1264
district,608,608,S.A.S Nagar,0,0,100.0,1094
district,58,58,Ambala,0,0,100.0,1510
district,177,177,Saharanpur,0,0,100.0,3714
district,50,50,Haridwar,0,0,88.5,2291
district,52,52,Pauri Garhwal,0,0,20.3,5277
district,55,55,Tehri Garhwal,0,0,47.0,3911
district,54,54,Rudra Prayag,0,0,0.0,1986
district,57,57,Uttar Kashi,0,0,4.9,7980
district,24,24,Sirmaur,0,0,59.4,2825
district,23,23,Shimla,0,0,12.4,5124
district,20,20,Kullu,0,0,0.0,5487
district,19,19,Kinnaur,0,0,0.0,6502
district,21,21,Lahul And Spiti,0,0,0.0,13963
district,22,22,Mandi,0,0,4.7,3949
district,15,15,Bilaspur,0,0,85.1,1167
district,17,17,Hamirpur,0,0,5.6,1114
district,18,18,Kangra,0,0,0.0,5738
district,26,26,Una,0,0,13.9,1547
district,33,33,Hoshiarpur,0,0,13.4,3378
district,662,662,Pathankot,0,0,0.0,950
district,7,7,Kathua,0,0,0.0,2501
district,16,16,Chamba,0,0,0.0,6514
district,4,4,Doda,0,0,0.0,2409
district,620,620,Kishtwar,0,0,0.0,8175
district,6,6,Kargil,0,0,0.0,14205
district,9,9,Leh Ladakh,0,0,0.0,154015
district,47,47,Chamoli,0,0,0.0,7823
district,46,46,Bageshwar,0,0,0.0,2234
district,45,45,Almora,0,0,5.0,3147
district,53,53,Pithoragarh,0,0,0.0,7235
district,125,125,Bahraich,0,0,0.0,4950
district,181,181,Shravasti,0,0,0.0,1930
district,127,127,Balrampur,0,0,0.0,3341
district,147,147,Gonda,0,0,0.0,3980
district,131,131,Basti,0,0,1.8,2784
district,121,121,Ambedkar Nagar,0,0,0.1,2330
district,152,152,Jaunpur,0,0,47.9,4032
district,185,185,Sultanpur,0,0,0.0,2672
district,140,140,Ayodhya,0,0,0.0,2688
district,640,640,Amethi,0,0,0.5,2426
district,174,174,Pratapgarh,0,0,46.8,3710
district,175,175,Rae Bareli,0,0,17.0,3933
district,129,129,Barabanki,0,0,75.1,3845
district,183,183,Sitapur,0,0,12.7,5736
district,150,150,Hardoi,0,0,10.8,5988
district,186,186,Unnao,0,0,95.0,4569
district,142,142,Fatehpur,0,0,14.6,4170
district,156,156,Kanpur Dehat,0,0,63.8,3158
district,149,149,Hamirpur,0,0,0.6,3898
district,151,151,Jalaun,0,0,0.0,4565
district,122,122,Auraiya,0,0,0.0,2017
district,155,155,Kannauj,0,0,0.3,2088
district,141,141,Farrukhabad,0,0,0.0,2180
district,173,173,Pilibhit,0,0,31.4,3765
district,180,180,Shahjahanpur,0,0,12.0,4314
district,159,159,Kheri,0,0,0.0,7694
district,48,48,Champawat,0,0,0.0,1770
district,176,176,Rampur,0,0,95.2,2367
district,51,51,Nainital,0,0,43.1,3992
district,132,132,Bijnor,0,0,59.5,4600
district,154,154,Amroha,0,0,99.6,2457
